Question,Answer
"Pourquoi mon iPhone affiche-t-il un message d'alerte Apple ""Message important"" ou ""Pièce inconnue"" ?","L'écran de votre iPhone affiche un message d'alerte Apple à propos de sa batterie, son écran ou bien sa caméra. Par exemple : « Pièce inconnue » dans la section « Historique des pièces et des réparations » dans les paramètres ou encore  « Impossible de vérifier si cet iPhone possède une batterie Apple d'origine. L'état de santé de la batterie n'est pas disponible. ».

 

Que signifie cette notification?
Cette notification apparait lorsqu'une réparation a été effectuée sur un appareil et donne des informations sur le composant remplacé : batterie, écran, appareil photo. 

 

Seul un Apple Genius Bar ou un fournisseur de services agréé Apple peut remplacer un composant dans les derniers iPhone sans déclencher l'affichage de ces messages. Cela ne signifie pas que votre batterie (par exemple) est défectueuse - mais simplement qu'elle a été remplacée par une nouvelle batterie tout aussi performante que l'originale. Et il en est de même pour les autres composants.


La notification sera visible sur l'écran de verrouillage pendant quelques jours, puis sera uniquement visible dans les paramètres de votre téléphone. Concernant la batterie, vous pouvez contrôler la capacité de celle ci grâce à des applications, voici nos astuces : http://faq.certideal.com/fr/articles/2364354-questions-sur-la-batterie-de-mon-telephone).

 

Quels sont les appareils concernés?
Seuls les iPhone les plus récents (à partir de l'iPhone X et générations suivantes) sont concernés.

Pour iOS 15.2 et versions ultérieures, différentes informations sont affichées en fonction de votre modèle. Vous pouvez vérifier en allant dans Paramètres > Général > À propos de > HISTORIQUE DES PIÈCES ET DES RÉPARATIONS :

Pour les iPhone XR, XS, XS Max et versions ultérieures, y compris l'iPhone SE (deuxième génération), vous pouvez voir si la batterie a été remplacée.

Pour les iPhone 11, 12 et 13, vous pouvez voir si la batterie ou l'écran ont été remplacés.

Pour les iPhone 12 et 13, vous pouvez voir si la batterie, l'écran ou l'appareil photo ont été remplacés.

Pour les versions d'iOS antérieures à iOS 15.2, vous verrez un « Message important concernant la batterie », un « Message important concernant l'affichage » ou un « Message important concernant l'appareil photo ».

 

Pour résumer, cette notification n'affecte en rien les performances de votre appareil. Chez CertiDeal, chacun des appareils proposés est soumis à des tests rigoureux pour vérifier leur état et leur fonctionnalité afin de garantir des appareils de qualité - tout aussi performants que neufs ! 
Et si toutefois vous rencontrez un problème, ou vous souhaitez avoir plus d'informations, vous pouvez nous contacter par mail à hello@certideal.com :)"
Mon iPhone affiche un message concernant l'origine de l'écran,"Apple affiche une notification : l'iPhone n'est pas apte à déterminer l'authenticité de son écran.

Depuis la mise à jour iOs 14.2, ce message apparaît sur tous les produits qui ont eu un écran changé hors Apple Store. 

 

Lors du reconditionnement, l'écran est parfois remplacé, cette notification peut donc apparaître. Nos écrans sont premiums et la qualité d'origine est conservée. 

 

Vous avez iOS 14 et un modèle supérieur ou égal à l'iPhone 11 : Cela n'a pas d'impact sur la qualité du produit, au contraire, ce message montre que nous avons bien pris soin de reconditionner l'iPhone et de le contrôler avant son expédition. "
Que couvre la garantie Certideal ?,"La garantie Certideal est tout à fait similaire à la garantie constructeur. 

 

Toutes les pannes indépendantes de votre utilisation sont prises en charge, voici la liste des soucis pris en charge :) 

 

-Réseau 

-wifi / bluetooth 

-GPS

-son haut parleur, écouteurs internes, micro

-appareil photo (avant et arrière) / Flash

-tactile

-connecteur de charge 

-face ID

-touch ID / bouton home

-le téléphone ne s'allume plus

-vibreur 

-la batterie est garantie 3 mois (12 mois si vous avez choisis l'option Batterie neuve) 

 

Pour résumer, si vous faites tomber votre téléphone dans l'eau, ou que vous le faites tomber du 3ème étage, ce n'est pas pris en garantie.

Si la panne n'est pas liée à votre utilisation directement, c'est pris en charge :)"
Comment réinitialiser mon iPhone/iPad avec une DFU (Device Firmware Update),"Avant de lancer la procédure de retour
Nous proposons une procédure à réaliser qui pourrait régler le problème chez vous directement. 

En effet, certains dysfonctionnements peuvent apparaître sans réel problème matériel, et il peut suffire d'une réinitialisation ou d'une procédure de réglages pour arranger le problème : 

 

Pour résoudre vos soucis, voici les étapes à appliquer. 

Assurez vous que la mise à jour iTunes sur votre ordinateur a été effectuée. Attention, ceci effacera vos données, faites une copie de vos données. Veillez à ce que la dernière version d'iTunes soit bien installée. 

 

Placer votre appareil en mode de récupération et le configurer à nouveau
Etape 1: Vérifiez que votre Mac est à jour. Si vous utilisez iTunes, assurez-vous que vous disposez de la version la plus récente. 

 

Etape 2:  Sur un Mac doté de macOS Catalina, ouvrez le Finder. Sur un Mac doté de macOS Mojave ou version antérieure, ou sur un PC, ouvrez iTunes. Si l'application iTunes est déjà ouverte, fermez-la, puis ouvrez-la à nouveau. Identifiez la version de macOS installée sur votre Mac.

 

Etape 3: Laissez votre appareil connecté et attendez que l'écran du mode de récupération s'affiche :

 

Modèles d'iPad sans bouton principal : 

Appuyez brièvement sur le bouton d'augmentation du volume. 

Appuyez brièvement sur le bouton de réduction du volume. 

Maintenez le bouton du haut enfoncé jusqu'à ce votre appareil redémarre. 

Continuez à le maintenir jusqu'à ce que votre appareil passe en mode de récupération.

 

iPhone 8 ou modèle ultérieur : 

Appuyez brièvement sur le bouton d'augmentation du volume. 

Appuyez brièvement sur le bouton de réduction du volume. 

Ensuite, maintenez le bouton latéral enfoncé jusqu'à ce que l'écran du mode de récupération apparaisse.

 

iPhone 7, iPhone 7 Plus et iPod touch (7e génération) : 

Maintenez le bouton du haut (ou le bouton latéral) et le bouton de réduction du volume enfoncés simultanément. 

Continuez de les maintenir enfoncés jusqu'à ce que l'écran du mode de récupération apparaisse.

 

iPad avec bouton principal, iPhone 6s ou modèle antérieur et iPod touch (6e génération) ou modèle antérieur : 

Maintenez le bouton principal et le bouton du haut (ou le bouton latéral) enfoncés simultanément. 

Continuez de les maintenir enfoncés jusqu'à ce que l'écran du mode de récupération apparaisse.
'

Etape 4: Localisez votre appareil sur votre ordinateur. Dans la fenêtre vous invitant à procéder à une mise à jour ou à une restauration, sélectionnez ""Mettre à jour"". 

Votre ordinateur essaie de réinstaller le logiciel sans effacer vos données. 

Patientez le temps que votre ordinateur télécharge le logiciel de votre appareil. 

Si le téléchargement dure plus de 15 minutes et que l'écran du mode de récupération se ferme, attendez la fin du téléchargement, puis répétez l'étape 3.
'

Etape 5: Une fois la mise à jour ou la restauration effectuée, configurez votre appareil.

Nous espérons que cette procédure résoudra votre problème, si ce n'est pas le cas nous ouvrirons une procédure pour diagnostiquer votre appareil"
"Mon appareil a un problème qui peut être résolu avec une réinitialisation, comment faire ?","Avant de lancer la procédure de retour
Nous proposons une procédure à réaliser qui pourrait régler le problème chez vous directement. 

En effet, certains dysfonctionnements peuvent apparaître sans réel problème matériel, et il peut suffire d'une réinitialisation ou d'une procédure de réglages pour arranger le problème : 

 

Pour résoudre vos soucis, voici les étapes à appliquer. 

Assurez vous que la mise à jour iTunes sur votre ordinateur a été effectuée. Attention, ceci effacera vos données, faites une copie de vos données. Veillez à ce que la dernière version d'iTunes soit bien installée. 

 

Placer votre appareil en mode de récupération et le configurer à nouveau
Etape 1: Vérifiez que votre Mac est à jour. Si vous utilisez iTunes, assurez-vous que vous disposez de la version la plus récente. 

 

Etape 2:  Sur un Mac doté de macOS Catalina, ouvrez le Finder. Sur un Mac doté de macOS Mojave ou version antérieure, ou sur un PC, ouvrez iTunes. Si l'application iTunes est déjà ouverte, fermez-la, puis ouvrez-la à nouveau. Identifiez la version de macOS installée sur votre Mac.

 

Etape 3: Laissez votre appareil connecté et attendez que l'écran du mode de récupération s'affiche :

 

Modèles d'iPad sans bouton principal : 

Appuyez brièvement sur le bouton d'augmentation du volume. 

Appuyez brièvement sur le bouton de réduction du volume. 

Maintenez le bouton du haut enfoncé jusqu'à ce votre appareil redémarre. 

Continuez à le maintenir jusqu'à ce que votre appareil passe en mode de récupération.

 

iPhone 8 ou modèle ultérieur : 

Appuyez brièvement sur le bouton d'augmentation du volume. 

Appuyez brièvement sur le bouton de réduction du volume. 

Ensuite, maintenez le bouton latéral enfoncé jusqu'à ce que l'écran du mode de récupération apparaisse.

 

iPhone 7, iPhone 7 Plus et iPod touch (7e génération) : 

Maintenez le bouton du haut (ou le bouton latéral) et le bouton de réduction du volume enfoncés simultanément. 

Continuez de les maintenir enfoncés jusqu'à ce que l'écran du mode de récupération apparaisse.

 

iPad avec bouton principal, iPhone 6s ou modèle antérieur et iPod touch (6e génération) ou modèle antérieur : 

Maintenez le bouton principal et le bouton du haut (ou le bouton latéral) enfoncés simultanément. 

Continuez de les maintenir enfoncés jusqu'à ce que l'écran du mode de récupération apparaisse.
'

Etape 4: Localisez votre appareil sur votre ordinateur. Dans la fenêtre vous invitant à procéder à une mise à jour ou à une restauration, sélectionnez ""Mettre à jour"". 

Votre ordinateur essaie de réinstaller le logiciel sans effacer vos données. 

Patientez le temps que votre ordinateur télécharge le logiciel de votre appareil. 

Si le téléchargement dure plus de 15 minutes et que l'écran du mode de récupération se ferme, attendez la fin du téléchargement, puis répétez l'étape 3.
'

Etape 5: Une fois la mise à jour ou la restauration effectuée, configurez votre appareil.

Nous espérons que cette procédure résoudra votre problème, si ce n'est pas le cas nous ouvrirons une procédure pour diagnostiquer votre appareil"
Questions sur la batterie de mon téléphone,"Nos engagements
Pour tous nos smartphones (hors option batterie neuve) :
Une batterie à minimum 80% de sa capacité à neuf sur l'état parfait état

Une batterie à minimum 80% de sa capacité à neuf sur l'état très bon état 

Une batterie à minimum 80% de sa capacité à neuf sur l'état correct

Une garantie 3 mois sur la batterie. Au-delà, celle-ci est considérée comme consommable et sa durée de vie dépendra de votre utilisation

Si vous avez opté pour la batterie neuve :
Une batterie neuve à 100% de sa capacité

Une garantie de 12 mois sur la batterie

 

Vous souhaitez vérifier l'état de votre batterie neuve '

 

Si vous avez commandé un modèle inférieur à l'iPhone 8:

Allez dans Réglages => Batterie => état de la batterie: cette dernière affichera un état compris entre 97% et 100%. 

 

La mise en route de l'appareil et la synchronisation des données demandent beaucoup de ressources et l'iPhone réajuste le calcul de l'autonomie de la batterie automatiquement. Cela ne signifie donc pas que la batterie installée n'est pas optimale. Après la configuration et la première utilisation, ce chiffre se stabilise. 

 

Si vous avez commandé un modèle supérieur ou égal à l'iPhone X :

Vous avez iOS 13 ou inférieur: allez dans Réglages=> Batterie=> état de la batterie : cette dernière affichera un état de 100 ou 98%.

 

Vous avez iOS 14 et un modèle supérieur ou égal à l'iPhone X :

Apple a malheureusement désactivé l'affichage de l'état de la batterie si cette dernière a été changée hors de l'Apple Store (ce qui est le cas pour votre téléphone). Vous verrez donc un message affichant ""réparation"" puis un message expliquant que l'iPhone ne peut donner la capacité de la batterie car cette dernière a été changée hors Apple Store.

Il existe énormément de logiciels permettant de contrôler le niveau de la batterie. Nous conseillons le logiciel 3utool, disponible sur mac et PC sur le lien suivant ""http://www.3u.com"". Itunes doit être préalablement installé sur votre ordinateur.

 

Avant de lancer une procédure de retour...
Vous avez l'impression que votre smartphone se décharge trop vite ' Sur tous les iPhone, la batterie, peu importe la gamme, se décharge généralement en moins de 8h. Nous n'avons jamais eu de modèle dépassant ce temps avec une utilisation quotidienne normale. 

 

Avez vous activé/désactivé tous les paramètres qui peuvent user ou optimiser la batterie '

 

En effet, à l'achat d'un nouveau modèle, nombreux sont les paramètres par défaut qui usent celle-ci.

 

Voici quelques exemples d'optimisation :

 

- Dans Réglages, Général, Accessibilité : ""Réduire les animations"" à activer

 

- Dans Réglages, en bas, Réduire au maximum les ""actualisation en arrière plan"" de vos applis (dans chaque réglages d'applis)

 

- Dans Réglages, Confidentialité, Service de localisation, Séléctionner ""Jamais"" ou au pire ""Lorsque l'app est active"" dans chaque applis qui ne necessite pas de localisation pour l'utiliser.

 

- Activer le mode ""économie d'énergie""

 

Nous espérons avoir résolu le problème :) Si ce n'est pas le cas et que votre batterie est encore dans sa période de garantie, nous allons ouvrir une procédure de retour."
Mon smartphone a un problème de batterie,"Nos engagements
Pour tous nos smartphones (hors option batterie neuve) :
Une batterie à minimum 80% de sa capacité à neuf sur l'état parfait état

Une batterie à minimum 80% de sa capacité à neuf sur l'état très bon état 

Une batterie à minimum 80% de sa capacité à neuf sur l'état correct

Une garantie 3 mois sur la batterie. Au-delà, celle-ci est considérée comme consommable et sa durée de vie dépendra de votre utilisation

Si vous avez opté pour la batterie neuve :
Une batterie neuve à 100% de sa capacité

Une garantie de 12 mois sur la batterie

 

Vous souhaitez vérifier l'état de votre batterie neuve '

 

Si vous avez commandé un modèle inférieur à l'iPhone 8:

Allez dans Réglages => Batterie => état de la batterie: cette dernière affichera un état compris entre 97% et 100%. 

 

La mise en route de l'appareil et la synchronisation des données demandent beaucoup de ressources et l'iPhone réajuste le calcul de l'autonomie de la batterie automatiquement. Cela ne signifie donc pas que la batterie installée n'est pas optimale. Après la configuration et la première utilisation, ce chiffre se stabilise. 

 

Si vous avez commandé un modèle supérieur ou égal à l'iPhone X :

Vous avez iOS 13 ou inférieur: allez dans Réglages=> Batterie=> état de la batterie : cette dernière affichera un état de 100 ou 98%.

 

Vous avez iOS 14 et un modèle supérieur ou égal à l'iPhone X :

Apple a malheureusement désactivé l'affichage de l'état de la batterie si cette dernière a été changée hors de l'Apple Store (ce qui est le cas pour votre téléphone). Vous verrez donc un message affichant ""réparation"" puis un message expliquant que l'iPhone ne peut donner la capacité de la batterie car cette dernière a été changée hors Apple Store.

Il existe énormément de logiciels permettant de contrôler le niveau de la batterie. Nous conseillons le logiciel 3utool, disponible sur mac et PC sur le lien suivant ""http://www.3u.com"". Itunes doit être préalablement installé sur votre ordinateur.

 

Avant de lancer une procédure de retour...
Vous avez l'impression que votre smartphone se décharge trop vite ' Sur tous les iPhone, la batterie, peu importe la gamme, se décharge généralement en moins de 8h. Nous n'avons jamais eu de modèle dépassant ce temps avec une utilisation quotidienne normale. 

 

Avez vous activé/désactivé tous les paramètres qui peuvent user ou optimiser la batterie '

 

En effet, à l'achat d'un nouveau modèle, nombreux sont les paramètres par défaut qui usent celle-ci.

 

Voici quelques exemples d'optimisation :

 

- Dans Réglages, Général, Accessibilité : ""Réduire les animations"" à activer

 

- Dans Réglages, en bas, Réduire au maximum les ""actualisation en arrière plan"" de vos applis (dans chaque réglages d'applis)

 

- Dans Réglages, Confidentialité, Service de localisation, Séléctionner ""Jamais"" ou au pire ""Lorsque l'app est active"" dans chaque applis qui ne necessite pas de localisation pour l'utiliser.

 

- Activer le mode ""économie d'énergie""

 

Nous espérons avoir résolu le problème :) Si ce n'est pas le cas et que votre batterie est encore dans sa période de garantie, nous allons ouvrir une procédure de retour."
Questions sur le microphone/haut-parleur d'un smartphone,"Il s'agit généralement d'une panne matérielle, mais pour éviter un retour qui mobilisera votre appareil 7 jours, nous vous invitons à vérifier qu'il ne s'agit pas d'un excédent de poussière. 

 

Astuce : Munissez vous d'une brosse à dent humide et tapotez la zone concernée (haut parleur, micro, sortie son lors des appels situé à coté de l'appareil photo frontal) 

 

Nous espérons avoir résolu le problème. Si ce n'est pas le cas, nous ouvrirons une procédure de retour. Pour cela, nous vous invitons à consulter notre article dédié."
Questions sur le contenu de ma commande,"Vous avez réceptionné votre colis mais le produit ne correspond pas à la commande que vous avez passé. Ce type de cas est extrêmement rare mais l'erreur est humaine. Vous pouvez déclarer ce problème dans votre espace personnel, en cliquant sur la commande en question puis sur ""SAV"". 

On distingue 4 cas différents de non-conformité : 

Le produit n'est pas de la bonne couleur. Vous avez la possibilité de garder le produit et être dédommagé, ou de demander un échange

Le modèle de smartphone n'est pas le bon. Dans ce cas, nous vous proposons immédiatement un échange. 

Le produit n'est pas de la bonne capacité.
Là aussi, nous lançons immédiatement une procédure d'échange

Le produit n'est pas du bon grade esthétique. Pour ce type de réclamation, nous devons examiner au préalable le bien-fondé de votre demande avant d'y donner suite. Merci de nous envoyer des photos de votre produit par email à l'adresse suivante hello@certideal.com sans oublier de préciser dans l'objet du message la référence de votre commande."
J'ai reçu mon produit mais il ne correspond pas à ma commande,"Vous avez réceptionné votre colis mais le produit ne correspond pas à la commande que vous avez passé. Ce type de cas est extrêmement rare mais l'erreur est humaine. Vous pouvez déclarer ce problème dans votre espace personnel, en cliquant sur la commande en question puis sur ""SAV"". 

On distingue 4 cas différents de non-conformité : 

Le produit n'est pas de la bonne couleur. Vous avez la possibilité de garder le produit et être dédommagé, ou de demander un échange

Le modèle de smartphone n'est pas le bon. Dans ce cas, nous vous proposons immédiatement un échange. 

Le produit n'est pas de la bonne capacité.
Là aussi, nous lançons immédiatement une procédure d'échange

Le produit n'est pas du bon grade esthétique. Pour ce type de réclamation, nous devons examiner au préalable le bien-fondé de votre demande avant d'y donner suite. Merci de nous envoyer des photos de votre produit par email à l'adresse suivante hello@certideal.com sans oublier de préciser dans l'objet du message la référence de votre commande."
Questions à la réception de ma commande,"Avant de lancer la procédure de retour
Nous proposons une procédure à réaliser qui pourrait régler le problème chez vous directement. 

En effet, certains dysfonctionnements peuvent apparaître sans réel problème matériel, et il peut suffire d'une réinitialisation ou d'une procédure de réglages pour arranger le problème : 

 

Pour résoudre vos soucis, voici les étapes à appliquer. 

Assurez vous que la mise à jour iTunes sur votre ordinateur a été effectuée. Attention, ceci effacera vos données, faites une copie de vos données. Veillez à ce que la dernière version d'iTunes soit bien installée. 

 

Placer votre appareil en mode de récupération et le configurer à nouveau
Etape 1: Vérifiez que votre Mac est à jour. Si vous utilisez iTunes, assurez-vous que vous disposez de la version la plus récente. 

 

Etape 2:  Sur un Mac doté de macOS Catalina, ouvrez le Finder. Sur un Mac doté de macOS Mojave ou version antérieure, ou sur un PC, ouvrez iTunes. Si l'application iTunes est déjà ouverte, fermez-la, puis ouvrez-la à nouveau. Identifiez la version de macOS installée sur votre Mac.

 

Etape 3: Laissez votre appareil connecté et attendez que l'écran du mode de récupération s'affiche :

 

Modèles d'iPad sans bouton principal : 

Appuyez brièvement sur le bouton d'augmentation du volume. 

Appuyez brièvement sur le bouton de réduction du volume. 

Maintenez le bouton du haut enfoncé jusqu'à ce votre appareil redémarre. 

Continuez à le maintenir jusqu'à ce que votre appareil passe en mode de récupération.

 

iPhone 8 ou modèle ultérieur : 

Appuyez brièvement sur le bouton d'augmentation du volume. 

Appuyez brièvement sur le bouton de réduction du volume. 

Ensuite, maintenez le bouton latéral enfoncé jusqu'à ce que l'écran du mode de récupération apparaisse.

 

iPhone 7, iPhone 7 Plus et iPod touch (7e génération) : 

Maintenez le bouton du haut (ou le bouton latéral) et le bouton de réduction du volume enfoncés simultanément. 

Continuez de les maintenir enfoncés jusqu'à ce que l'écran du mode de récupération apparaisse.

 

iPad avec bouton principal, iPhone 6s ou modèle antérieur et iPod touch (6e génération) ou modèle antérieur : 

Maintenez le bouton principal et le bouton du haut (ou le bouton latéral) enfoncés simultanément. 

Continuez de les maintenir enfoncés jusqu'à ce que l'écran du mode de récupération apparaisse.
'

Etape 4: Localisez votre appareil sur votre ordinateur. Dans la fenêtre vous invitant à procéder à une mise à jour ou à une restauration, sélectionnez ""Mettre à jour"". 

Votre ordinateur essaie de réinstaller le logiciel sans effacer vos données. 

Patientez le temps que votre ordinateur télécharge le logiciel de votre appareil. 

Si le téléchargement dure plus de 15 minutes et que l'écran du mode de récupération se ferme, attendez la fin du téléchargement, puis répétez l'étape 3.
'

Etape 5: Une fois la mise à jour ou la restauration effectuée, configurez votre appareil.

Nous espérons que cette procédure résoudra votre problème, si ce n'est pas le cas nous ouvrirons une procédure pour diagnostiquer votre appareil"
"J'ai reçu mon produit mais il ne me convient pas, que faire ?","Si le produit que vous avez ne vous convient pas, vous avez différents recours à votre disposition, en fonction du motif.  Vous pouvez vous connecter sur votre espace personnel et aller dans la rubrique « mes achats ». En cliquant sur la petite flèche à droite sur votre commande, le bouton SAV saffiche. Suivez les étapes pas à pas pour définir le problème que vous rencontrez et trouver une solution. 

 

Vous pouvez y signaler les problèmes suivants : 

 

problèmes techniques

problèmes esthétiques

demande de prise en charge SAV

demandes liées aux accessoires

Si vous rencontrez un problème ou que vous ne parvenez pas à faire votre demande par le biais de cette assistance, contactez-nous par mail à hello@certideal.com avec comme objet [réclamation tunnel-SAV].

 

Nos appareils sont garantis « satisfait ou remboursé » jusqu'à 21 jours après réception du produit. Pour toutes les commandes passées entre le 24 novembre et le 10 décembre 2023, le délai de rétraction est étendu jusqu'au 31 décembre 2023.

Pendant ce délai, vous pouvez donc demander un remboursement de votre commande. Le retour est gratuit si le motif du retour est lié à un dysfonctionnement ou un défaut esthétique. Au-delà, nous appliquerons la garantie si vous rencontrez le moindre souci avec votre smartphone."
Comment déclarer un problème esthétique sur mon produit ?,"À l'issue de notre processus de certification, chaque smartphone de Certideal se voit attribuer un grade esthétique. Ce grade ne prend en compte que les différences esthétiques entre les appareils : rayures sur la coque ou sur l'écran... Tous passent la même série de tests et sont donc garantis fonctionnels. 

 

Pour plus de détails, voici un descriptif esthétique de chaque état proposé par Certideal : 

 

Premium :

Écran : 100 % Garanti d'origine Apple (Exclusivité CertiDeal). Qualité Impeccable (seulement 5 % de nos téléphones ont un grade premium)

Coque : Peut présenter des micro-rayures à peine visibles (invisibles à 20 cm).

Appareil : Testé et Garanti 24 mois, Débloqué, État technique 100 % fonctionnel.

 

Parfait état :

Écran : 100 % Garanti d'origine Apple (Exclu CertiDeal). Il peut présenter des micro-rayures superficielles, invisibles une fois l'écran allumé.

Coque : Peut présenter des micro-rayures, visibles à 20 cm.

Appareil : Testé et Garanti 24 mois, Débloqué, État technique 100 % fonctionnel.

Très bon état : 

Écran : Présente des micro-rayures, invisibles une fois l'écran allumé.

Coque : Peut présenter des micro-rayures, visibles à 20 cm.

Appareil : Testé et Garanti 24 mois, Débloqué, État technique 100 % fonctionnel.

Correct :

Écran : Micro-rayures visibles et à peine visibles une fois l'écran allumé.

Coque : Rayures ou impacts visibles.

Appareil : Testé et Garanti 24 mois, Débloqué, État technique 100 % fonctionnel.

 

Si à réception de votre appareil, vous constatez que votre produit n'est pas conforme à la définition du grade esthétique que vous avez commandé, nous vous invitons à prendre des photos de votre appareil et à nous les envoyer à l'adresse hello@certideal.com. Nous examinerons votre requête et déterminerons de la réponse à y apporter. Si votre requête est légitime, nous procéderons à un échange de votre produit ou à un dédommagement. "
Comment fonctionne la procédure de retour en cas de panne ?,"Tous nos téléphones possèdent une garantie. La durée standard est de 24 mois sur 99% des produits vendus sur le site, de quoi faire des heureux! 

 

Qu'est ce qui est pris en charge ? 

 

La garantie prend en charge toutes les pannes techniques du téléphone, en dehors de la casse et de l'oxydation. La période de garantie peut être étendue si vous avez souscrit à une extension de garantie lors de votre commande sur notre site. 

 

Comment déclarer une panne ? 

Pour signaler un problème, rendez vous dans votre espace personnel dans la rubrique « mes commandes». Sélectionnez la commande concernée, et cliquer sur ""SAV""
En suivant les instructions, vous serez dirigé étape par étape pour définir le problème. Une demande de prise en charge nous sera transmise et nous examinerons la demande. 

 

Si ma demande de retour est acceptée, que se passe-t-il ?

 

Si votre souci est bien pris en charge, et qu'une solution à distance ne permet pas de résoudre votre problème, nous vous lançons une procédure de retour :

 

Vous recevez par mail les instructions pour renvoyer votre produit (adresse, emballage, réinitialisation, etc...). Nous transmettons un bon de retour prépayé uniquement lorsque le problème technique survient durant les 30 premiers jours d'utilisation.

 

Une fois le produit posté, il faut compter entre 5 à 10 jours ouvrés pour la prise en charge. Nous diagnostiquerons le produit, et selon le cas, nous procéderons à un échange ou à une réparation."
Comment retirer le compte iCloud de mon appareil s'il ne s'allume pas ?,"Pour que votre appareil soit pris en charge pas nos équipes, il est nécessaire que votre compte iCloud soit déconnecté de votre téléphone.
Attention ! Prenez soin de sauvegarder vos données avant d'effectuer cette procédure.
Pour le retirer, c'est très simple. Nous vous expliquons ci-dessous comment procéder :
1. Connectez-vous à l'adresse suivante : https://icloud.com/find et cliquez sur
«Se Connecter».
Voici la page qui apparaît.
2. Renseignez votre identifiant Apple et votre mot de passe.
Si vous avez oublié votre identifiant ou votre mot de passe, nous vous invitons à cliquer sur la mention « Identifiant Apple ou mot de passe oublié ».
Voici la page qui apparaît.
3. Cliquez sur « Tous mes appareils », puis sur le téléphone que vous souhaitez déconnecter du compte iCloud.
Le téléphone apparaît dans le coin supérieur gauche de la page.
4. Cliquez ensuite sur « Effacer », puis sur « Supprimer du compte ».
Le compte iCloud est à présent déconnecté de l'appareil !
Si vous rencontrez la moindre difficulté pour retirer le compte iCloud de votre téléphone, nous vous invitons à contacter le support Apple à l'aide du lien suivant :
https://www.apple.com/fr/contact/"
Comment réinitialiser mon téléphone ?,"Pour que votre appareil soit pris en charge par nos équipes, il est nécessaire que vous le réinitialisiez au préalable. Nous vous expliquons ci-dessous comment procéder :
Attention ! Prenez soin de sauvegarder vos données avant d'effectuer cette procédure.
1. Rendez-vous dans les réglages de l'appareil, et cliquez sur « Général ».
2. Cliquez ensuite sur « Transférer ou réinitialiser l'iPhone ».
3. Cliquez ensuite sur « Effacer contenu et réglages ».
4. Cliquez ensuite sur « Continuer ». 
5. Cliquez ensuite sur « Terminer le téléchargement puis effacer ».
Si vos données ont déjà été téléchargées sur iCloud, vous pouvez directement cliquer sur ""Effacer maintenant"".
6. C'est fait ! Votre appareil est à présent en cours de réinitialisation, et sera totalement réinitialisé dès qu'il se rallumera. Veillez à le laisser en charge durant la réinitialisation, afin qu'il ne s'éteigne pas au cours du processus.
Si le téléphone ne s'allume plus, pas d'inquiétude ! Vous pouvez le réinitialiser depuis un ordinateur, en accédant à votre compte iCloud.
"
Contacter le service client,"Si nos articles n'ont pas répondu à vos questions, vous pouvez contacter notre service client à l'adresse suivante : hello@certideal.com
Vous pouvez solliciter un rendez-vous téléphonique si votre requête porte sur un problème lié à l'expédition de votre commande ou une demande de prise en garantie de votre appareil, en suivant ce lien: https://calendly.com/equipecertideal"
"Pourquoi revendre mon smartphone alors que je pourrais le garder en cas de besoin ?
Pourquoi revendre mon smartphone alors que je pourrais le garder en cas de besoin ?","En revendant votre Smartphone à CertiDeal, 

vous faîtes un geste qui est bon pour la planète et pour vos finances.

 

Selon une étude réalisée par l'entreprise de sondage OpinionWay pour le compte de l'AFNUM (Alliance Française des Industries du Numérique), il y aurait entre 54 et 113 millions de téléphones mobiles inutilisés dans les foyers français depuis 2019. 

 

Les téléphones de secours, conservés par leurs propriétaires lors de l'achat d'un nouvel appareil, deviendraient défectueux en l'espace de quelques mois. Ainsi, ils ne seraient plus jamais utilisés et resteraient abandonnés à leur triste sort dans un tiroir.

 

De plus, chacun de ces téléphones contient au moins 6 matériaux précieux tels que l'or et le cuivre. Ces matériaux rares seraient susceptibles d'être recyclés si ces smartphones étaient revendus à CertiDeal.

 

Alors, faîtes un geste pour la planète et pour vos finances : sauvez votre ancien téléphone ! Donnez-lui une nouvelle vie : CertiDeal se charge de lui offrir une retraite bien méritée et d'en prendre soin !

 

Accédez à notre offre de reprise grâce au lien suivant : https://certideal.com/vendre-mon-smartphone"
"Mon bon d'envoi Chronopost a expiré, comment en avoir un nouveau ?","Si votre bon d'envoi Chronopost a expiré, nous vous invitons à compléter de nouveau le formulaire de reprise pour votre téléphone grâce au lien suivant : https://certideal.com/vendre-mon-smartphone

 

Une fois le formulaire complété à nouveau, vous recevrez un mail automatique comportant un nouveau bon d'envoi Chronopost prépayé. Grâce à ce nouveau bon, vous pourrez procéder à l'envoi de votre téléphone gratuitement. 

 

Si toutefois vous ne recevez pas votre bon Chronopost, nous vous invitons à nous contacter par mail à l'adresse suivante : reprise@certideal.com afin que l'on vous apporte une solution au plus vite. "
